Publication: https://www.sciencedirect.com/science/article/pii/S0304420317300725?via%3Dihub,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cruise,Station,Type,yyyy-mm-dd Thh:mm,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],Depth [m],DGM [pg L-1],HgTot [ng L-1],MeHg [pg L-1],Temperature [?C],Salinity [psu],pot.Temperature [?C],Sigma,Oxygen [ml/l],OxygSat [proz],Transmission [proz],Fluorometer [V]
Antarctica 2013,487-2,B,2012-06-17 22:22,-0.055833333,-61.96611111,5372.2,5280,123.3209302,,,-0.3783,34.6467,-0.7933,1027.8588,7.78,95.5,96.38,0.099
Antarctica 2013,487-2,B,2012-06-17 22:22,-0.055833333,-61.96611111,5372.2,5260,136.89,,,-0.3807,34.6465,-0.7932,1027.8586,7.78,95.5,96.39,0.099
Antarctica 2013,487-2,B,2012-06-17 22:22,-0.055833333,-61.96611111,5372.2,5240,133.155,,,-0.3833,34.6466,-0.7933,1027.8586,7.77,95.3,96.4,0.099
Antarctica 2013,487-2,B,2012-06-17 22:22,-0.055833333,-61.96611111,5372.2,4000,146.9435294,,,-0.4126,34.6517,-0.6843,1027.8581,7.65,93.8,96.55,0.099
Antarctica 2013,487-2,B,2012-06-17 22:22,-0.055833333,-61.96611111,5372.2,3000,120.327907,,,-0.3007,34.6584,-0.4815,1027.8544,7.39,90.9,96.58,0.099
Antarctica 2013,487-2,B,2012-06-17 22:22,-0.055833333,-61.96611111,5372.2,2000,121.7195122,,,-0.1407,34.665,-0.2462,1027.8485,7.04,87,96.58,0.099
Antarctica 2013,487-2,B,2012-06-17 22:22,-0.055833333,-61.96611111,5372.2,1000,141.975,,,0.1975,34.6792,0.151,1027.8392,6.44,80.3,96.53,0.099
Antarctica 2013,487-2,B,2012-06-17 22:22,-0.055833333,-61.96611111,5372.2,500,151.7860465,,,0.4453,34.6869,0.4233,1027.8298,6.07,76.2,96.5,0.099
Antarctica 2013,487-2,B,2012-06-17 22:22,-0.055833333,-61.96611111,5372.2,300,159.2775,,,0.5564,34.6844,0.5434,1027.8207,6.08,76.5,96.43,0.099
Antarctica 2013,487-2,B,2012-06-17 22:22,-0.055833333,-61.96611111,5372.2,200,151.4093023,,,0.7014,34.676,0.6927,1027.8048,6.12,77.3,96.38,0.099
Antarctica 2013,487-2,B,2012-06-17 22:22,-0.055833333,-61.96611111,5372.2,150,152.9357143,,,0.5461,34.6326,0.5399,1027.7792,6.26,78.7,96.27,0.099
Antarctica 2013,487-2,B,2012-06-17 22:22,-0.055833333,-61.96611111,5372.2,100,125.6076923,,,-1.8302,34.0639,-1.8321,1027.4207,11.03,129.7,95.85,0.152
Antarctica 2013,487-2,B,2012-06-17 22:22,-0.055833333,-61.96611111,5372.2,90,71.27560976,,,-1.8402,34.062,-1.8419,1027.4194,11.05,129.8,95.84,0.16
